시간,일정,장소,세부 내용,담당자,필요 도우미 수,배정된 도우미
PM 4:00,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 4:15,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 4:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 4:45,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 4:45,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 4:45,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 4:45,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 4:45,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 4:45,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 4:45,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 4:45,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 5:00,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
